0,000
0,000
0,000
0,000
0,000
0,000
0,001
0,001
0,003
0,004
0,006
0,008
0,011
0,014
0,017
0,021
0,026
0,030
0,035
0,041
0,047
0,053
0,060
0,066
0,074
0,081
0,088
0,096
0,103
0,111
0,120
0,130
0,142
0,157
0,178
0,203
0,236
0,276
0,325
0,383
0,451
0,528
0,617
0,716
0,827
0,950
1,085
1,233
1,393
1,565
1,748
1,942
2,147
2,360
2,581
2,810
3,045
3,286
3,531
3,780
4,032
4,286
4,542
4,800
5,059
5,318
5,578
5,838
6,097
6,356
6,614
6,870
7,125
7,379
7,630
7,878
8,124
8,366
8,606
8,841
9,073
9,300
9,523
9,740
9,953
10,160
10,362
10,558
10,748
10,932
11,111
11,283
11,450
11,610
11,765
11,914
12,056
12,193
12,323
12,448
12,566
12,678
12,784
12,884
12,977
13,065
13,146
13,220
13,289
13,350
13,406
13,455
13,497
13,533
13,563
13,586
13,602
13,612
13,615
13,611
13,600
13,583
13,558
13,526
13,488
13,442
13,388
13,327
13,258
13,181
13,096
13,004
12,903
12,794
12,676
12,551
12,417
12,276
12,126
11,968
11,802
11,628
11,446
11,256
11,058
10,853
10,640
10,419
10,190
9,955
9,713
9,465
9,212
8,953
8,689
8,421
8,149
7,874
7,597
7,317
7,035
6,752
6,468
6,182
5,897
5,611
5,325
5,039
4,754
4,471
4,189
3,910
3,634
3,362
3,096
2,836
2,584
2,341
2,109
1,887
1,679
1,484
1,304
1,140
0,991
0,857
0,739
0,635
0,544
0,465
0,398
0,341
0,294
0,254
0,222
0,195
0,174
0,157
0,143
0,131
0,121
0,113
0,104
0,096
0,089
0,081
0,074
0,066
0,059
0,053
0,047
0,041
0,035
0,030
0,026
0,021
0,017
0,014
0,011
0,008
0,006
0,004
0,003
0,001
0,001
0,000
0,000
0,000
0,000
0,000
0,000
